jAxUgalYoVMxigeVyA jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
jAxUgalYoVMxigeVyU jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
jAxUgalYoVMxigeVyo jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
jAxUgalYoVMxigeVyo jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
jAxUgalYoVMxigeVyo jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
jAxUgalYoVMxigeVye jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
jAxUgalYoVMxigeVye jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
jAxUgalYoVMxigeVye jAxU(N31NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


